,VideoID,Start,End,AnnotationTime,Description,true_id,Tenemos video
18,mv89psg6zh4,33,46,66,A bird in a sink keeps getting under the running water from a faucet.,mv89psg6zh4_33_46,1
56,ZbzDGXEwtGc,6,15,24,a plane flying in the sky,ZbzDGXEwtGc_6_15,1
125,jbzaMtPYtl8,48,58,203,Two men are rolling huge tires sideways down a street while spectators watch.,jbzaMtPYtl8_48_58,1
176,g36ho6UrBz0,5,20,28,a man playing a guitar outside his house,g36ho6UrBz0_5_20,1
251,04Gt01vatkk,248,265,33,A woman cuts an oion.,04Gt01vatkk_248_265,1
305,buJ5HDCinrM,150,166,128,A woman is putting make up on her face.,buJ5HDCinrM_150_166,1
387,M_TP6UTrh30,343,358,37,A band is performing for a large crowd.,M_TP6UTrh30_343_358,1
445,8mSUD7JGNO0,174,181,26,A woman gallops on a horse.,8mSUD7JGNO0_174_181,1
531,ljGcQocjSs4,38,60,15,A guy is shooting a gun.,ljGcQocjSs4_38_60,1
594,n2NLoLNecgI,168,178,15,A girl is playing violin.,n2NLoLNecgI_168_178,1
660,6q1dX6thX3E,286,295,35,A man is talking on the phone.,6q1dX6thX3E_286_295,1
716,mFCf8lLXrUc,25,35,75,A person is peeling a mango.,mFCf8lLXrUc_25_35,1
783,6eokrw6_bjU,1,9,26,A woman is firing a rifle.,6eokrw6_bjU_1_9,1
862,E2r6nnkwl0c,6,18,15,A group of boys are jumping into a river.,E2r6nnkwl0c_6_18,1
911,n016q1w8Q30,2,11,27,Cards are being shuffled.,n016q1w8Q30_2_11,1
976,rQuNYxNmA6M,0,4,51,A baseball player throwing ball.,rQuNYxNmA6M_0_4,1
1022,ByGspTdA1ug,16,24,76,A person is sliding a cat across the floor.,ByGspTdA1ug_16_24,1
1078,-_hbPLsZvvo,323,328,9,A man is arranging sushi.,-_hbPLsZvvo_323_328,1
1135,6t0BpjwYKco,217,229,61,A woman seasons both sides of a pork chop.,6t0BpjwYKco_217_229,1
1175,MTkGPfMRXtc,5,21,32,Rubber band trouble.,MTkGPfMRXtc_5_21,1
1222,aeA-HN7BMdo,34,41,48,a women cutting broccoli up,aeA-HN7BMdo_34_41,1
1287,WWf0Z6ak3Dg,5,15,27,A bulldog is chasing a large blue ball around a yard.,WWf0Z6ak3Dg_5_15,1
1357,DBvSfds3FH4,76,80,37,A woman is kneading dough.,DBvSfds3FH4_76_80,1
1406,Ms3QdGIzltU,1,16,173,A brown Hamster is eating some nutshells placed on a table.,Ms3QdGIzltU_1_16,1
1479,nS6oQxX_Qi8,2,12,61,A young man is playing the trumpet.,nS6oQxX_Qi8_2_12,1
1549,pDvzOLRLjPc,0,8,24,A person is feeding two baby pandas.,pDvzOLRLjPc_0_8,1
1607,LQ-jv8g1YVI,1,6,21,A cat is on a robot.,LQ-jv8g1YVI_1_6,1
1677,kquB3rIgfGk,640,645,27,A man drinks a glass of water.,kquB3rIgfGk_640_645,1
1730,BVjvRpmHg0w,157,165,46,A woman is cutting broccoli.,BVjvRpmHg0w_157_165,1
1798,QzcTlEpAigQ,0,14,24,A beagle is peeing off a boat into the water.,QzcTlEpAigQ_0_14,1
1892,AysIdzGF-7M,6,14,29,A kitten plays with string.,AysIdzGF-7M_6_14,1
1939,iwpnUHFhjWc,9,14,34,A woman is dancing outside.,iwpnUHFhjWc_9_14,1
2068,bJJndejsUWc,88,98,100,A band is performing on stage with fire in the background.,bJJndejsUWc_88_98,1
2133,Xh6rdpJNaf0,0,15,84,A bunny is licking itself.,Xh6rdpJNaf0_0_15,1
2230,nwk4m329bLw,2,10,65,A man is walking in a field near a wooded area with four dogs.,nwk4m329bLw_2_10,1
2300,ItFqogTmAvQ,389,395,80,A woman and a man are holding hands and running towards the ocean.,ItFqogTmAvQ_389_395,1
2356,PCXHuseKwDc,17,20,81,A man is pouring antifreeze from a large jug into a funnel into his car.,PCXHuseKwDc_17_20,1
2402,9Bxknsvy3jQ,53,58,145,"A young man skateboards along a step, up a ramp, and then does a flip onto the pavement above.",9Bxknsvy3jQ_53_58,1
2446,a1Y73sPHKxw,0,5,31,"While standing on its hind legs, a prairie dog turns to look at the camera.",a1Y73sPHKxw_0_5,1
2575,C1MNCR1o9lU,0,7,847,A woman bottle feeds a baby.,C1MNCR1o9lU_0_7,1
2636,zzit5b_-ukg,5,20,67,A boy is doing exercise by cycle.,zzit5b_-ukg_5_20,1
2701,w9mqbwOIkVg,6,12,37,A man is doing a weight exercise.,w9mqbwOIkVg_6_12,1
2755,lAznAeFFldg,6,10,60,A man rides a bike over a hill in the woods.,lAznAeFFldg_6_10,1
2818,VF1K_6ZSOAY,23,28,77,A woman is writing at a desk and a small box slowly moves toward her.,VF1K_6ZSOAY_23_28,1
2875,j2Dhf-xFUxU,13,20,94,Someone is cutting a stack of crisp tortillas into quarters.,j2Dhf-xFUxU_13_20,1
2930,_txL575S_OA,13,23,295,A dazzle of zebras are grazing on grassland.,_txL575S_OA_13_23,1
2998,E6sqA9QtV5I,195,201,100,"A man, with tatoos on his arm, is kissing a woman.",E6sqA9QtV5I_195_201,1
3049,XzCcRzEa83U,1,8,20,The monkey pushed the other monkey.,XzCcRzEa83U_1_8,1
3098,8jP8CC2rKj4,80,88,43,A dolphin jumps out of water.,8jP8CC2rKj4_80_88,1
3180,HBCJYhUjVf0,0,9,69,A lion jumps and hangs off the top of a fence in an enclosed area.,HBCJYhUjVf0_0_9,1
3266,n6U-TGahwvs,100,110,20,A band is performing a song,n6U-TGahwvs_100_110,1
3340,Uc63MFVwfrs,360,372,68,Someone is cutting a cooked potato into bite-size pieces.,Uc63MFVwfrs_360_372,1
3384,bQJQGoJF7_k,109,115,47,A man is pouring seasoning in a plastic container.,bQJQGoJF7_k_109_115,1
3430,3SKyc0aKx70,46,52,33,A boy does flips on a trampoline.,3SKyc0aKx70_46_52,1
3629,PuQVs2Ch1LY,5,15,47,A girl wearing glasses is playing the flute.,PuQVs2Ch1LY_5_15,1
3680,elQqQfux7Po,12,22,76,A dog is eating a slice of watermelon someone is holding over a plate.,elQqQfux7Po_12_22,1
3731,zFIn8DeV5PM,20,33,26,a person playing a piano,zFIn8DeV5PM_20_33,1
3813,dEn5E-TNezw,13,23,124,A small hedgehog is on a table chewing on a towel with his mouth.,dEn5E-TNezw_13_23,1
3862,J3_hkgu6MGc,43,52,81,"A car driven down the street at night stops, and people start to get out.",J3_hkgu6MGc_43_52,1
3919,q9ew_nITQWY,54,62,58,Two teams are playing cricket.,q9ew_nITQWY_54_62,1
3979,6owu8Mow0_g,302,307,13,A man puts cheese on a pizza.,6owu8Mow0_g_302_307,1
4042,WTf5EgVY5uU,98,104,18,A woman breaks an egg.,WTf5EgVY5uU_98_104,1
4111,9W6aQNcU3PA,92,103,17,The lady is filing her nails.,9W6aQNcU3PA_92_103,1
4168,bXsKw3TOQXs,30,55,151,A small piece of paper is being folded.,bXsKw3TOQXs_30_55,1
4230,5W02895vT8c,312,322,14,A plane is taking off.,5W02895vT8c_312_322,1
4288,PHDmVhShE80,20,29,24,The woman is cutting a tentacle.,PHDmVhShE80_20_29,1
4405,xxHx6s_DbUo,41,44,72,A man is carrying another man piggyback.,xxHx6s_DbUo_41_44,1
4462,DIebwNHGjm8,133,148,47,a girl in  the ocean on jet skii,DIebwNHGjm8_133_148,1
4583,39Ce7I6nXIw,96,104,939,A man walks his horse.,39Ce7I6nXIw_96_104,1
4721,0lh_UWF9ZP4,50,60,86,A woman is adding and stirring in three different ingredients into a bowl of cooked white rice.,0lh_UWF9ZP4_50_60,1
4775,BVilbVCo9sU,1,11,69,A large cat is watching and sniffing a spider.,BVilbVCo9sU_1_11,1
4810,OUII8_aOfNM,60,69,15,A butcher cutting up meat.,OUII8_aOfNM_60_69,1
4870,JK1R9k1WDpc,6,15,138,A herd of elephants are walking single file down a path.,JK1R9k1WDpc_6_15,1
4924,u4kMN1jamdM,10,20,71,A woman riding a horse on the beach.,u4kMN1jamdM_10_20,1
4989,7NNg0_n-bS8,21,30,26,A man is singing and playing a guitar.,7NNg0_n-bS8_21_30,1
5054,UXs3eq68ZjE,255,260,67,Someone is stirring rice in a kettle of water with a wooden spoon.,UXs3eq68ZjE_255_260,1
5173,wjH72cZ0GLM,1,10,13,A man is pushing a car.,wjH72cZ0GLM_1_10,1
5221,32_A0-er4Ws,16,20,36,a  woman picking a tomatoes,32_A0-er4Ws_16_20,1
5288,vE1gvaM3iAs,39,46,65,A gloved individual wipes off a dvd.,vE1gvaM3iAs_39_46,1
5340,MF88IYF2MHY,25,59,41,An angry cat hissing and scratching.,MF88IYF2MHY_25_59,1
5411,H7vezmDeZaw,2,7,28,The man ran and hit the wall.,H7vezmDeZaw_2_7,1
5473,BAf3LXFUaGs,28,38,15,The man is playing the drums.,BAf3LXFUaGs_28_38,1
5527,80D0ylOqPJ8,0,5,68,A dog is walking on his front two legs with his hind legs in the air.,80D0ylOqPJ8_0_5,1
5590,ywMLb2VfHbI,13,20,14,A gerbil is running in his wheel.,ywMLb2VfHbI_13_20,1
5646,XZ0Ch_ClBfo,120,127,59,Three men run into and play in the ocean.,XZ0Ch_ClBfo_120_127,1
5697,gMqKUPeTAkg,17,30,31,a cat drinking water out the sink,gMqKUPeTAkg_17_30,1
5768,PmrTDZy3f2M,35,39,56,Two men are slam-dunking basketballs into basketball hoops.,PmrTDZy3f2M_35_39,1
5809,S-Civm_fbK8,20,26,34,A man kicks a soccer ball into the net.,S-Civm_fbK8_20_26,1
5884,BtQtRGI0F2Q,15,20,166,"Several men or working at the top of a utility pole, when one man gets electrocuted then hangs upside down.",BtQtRGI0F2Q_15_20,1
5938,o_mWZWcm2r4,10,15,77,Two people are climbing up a wall using protective gear.,o_mWZWcm2r4_10_15,1
5991,j2sOMdilDWU,87,97,49,A man is drawing something on a piece of paper.,j2sOMdilDWU_87_97,1
6043,hcCLIzzB1jQ,1,7,69,A man in a suit is doing one-handed push-ups.,hcCLIzzB1jQ_1_7,1
6097,hJFBXHtxKIc,204,209,78,Someone pours a reddish liquid into a saucepan of sausage from a large glass jug.,hJFBXHtxKIc_204_209,1
6149,5K7Ru5s6YIw,8,11,39,A kangaroo nibbles on it's food.,5K7Ru5s6YIw_8_11,1
6228,-wa0umYJVGg,168,176,77,A woman is adding green leaves to a pot of boiling water.,-wa0umYJVGg_168_176,1
6283,klteYv1Uv9A,27,33,87,A man is lying back on a moving motorcycle.,klteYv1Uv9A_27_33,1
